DATE,WM_WEEK,QTR,Month,FY,TR_PRODUCT,ORG,Org_AD,VP,PILLAR,Application_Name,Cloud,Env,Cost
9/15/24,Week 37,Q3,Sep,2024,Analytics Tools,Starling,tech@moonbird.io,Bob,Retail,riskengine,Azure,Prod,2839.4111
3/13/24,Week 11,Q1,Mar,2024,ETL/ELT Jobs,Moonbird,info@starling.org,Diana,Marketing,checkout,AWS,Stage,1933.7477
5/8/24,Week 19,Q2,May,2024,Big Data Pipeline,A,eagle-team@eagle.net,Alice,Finance,sales,GCP,Stage,9693.1387
3/13/25,Week 63,Q1,Mar,2024,ETL/ELT Jobs,Starling,finance@sunbird.com,Diana,Finance,sales,Azure,Prod,545.1767
1/22/25,Week 56,Q1,Jan,2024,Big Data Pipeline,Moonbird,all@sunbird.com,Diana,Engineering,sales,Azure,Dev,8890.8925
2/15/24,Week 07,Q1,Feb,2024,Streaming Analytics,Eagle,finance@sunbird.com,Charlie,Retail,checkout,GCP,Stage,8939.4387
1/11/24,Week 02,Q1,Jan,2024,Data Lakehouse,Starling,tech@moonbird.io,Diana,Marketing,checkout,GCP,Stage,5419.2958
4/11/24,Week 15,Q2,Apr,2024,Analytics Tools,Moonbird,finance@sunbird.com,Emily,Engineering,reporting,Azure,Stage,4851.2366
6/20/24,Week 25,Q2,Jun,2024,INTL DATA AND ANALYTICS POC,Starling,eagle-team@eagle.net,Bob,Retail,sales,GCP,Stage,8084.4439
3/9/25,Week 62,Q1,Mar,2024,ETL/ELT Jobs,Eagle,tech@moonbird.io,Charlie,Operations,inventory,GCP,Prod,1805.3952
10/29/24,Week 44,Q4,Oct,2024,ETL/ELT Jobs,Hawk,eagle-team@eagle.net,Diana,Finance,checkout,GCP,Prod,295.7703
7/8/24,Week 28,Q3,Jul,2024,Analytics Tools,Starling,eagle-team@eagle.net,Alice,Retail,inventory,GCP,Stage,741.6327
9/24/24,Week 39,Q3,Sep,2024,Streaming Analytics,Eagle,tech@moonbird.io,Charlie,Finance,reporting,AWS,Prod,1024.46
4/9/24,Week 15,Q2,Apr,2024,INTL DATA AND ANALYTICS POC,Eagle,info@starling.org,Diana,Engineering,inventory,GCP,Prod,4489.6518
5/6/24,Week 19,Q2,May,2024,ML Platform,Sunbird,tech@moonbird.io,Bob,Engineering,checkout,Azure,Prod,144.566
10/8/24,Week 41,Q4,Oct,2024,Big Data Pipeline,Hawk,finance@sunbird.com,Charlie,Engineering,inventory,Azure,Stage,2323.4359
